problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxClique,Grover,4,2,0.564035,0.04519012066321081,10,100000.0,2.4406158647e-06,0.014290370903358501,0.0015622470562302237,0.014375510996839563
MaxClique,Grover,4,3,0.28900899999999996,0.04677750039638002,10,100000.0,2.0351347683e-06,0.014792344450199004,0.0014265814972513838,0.014860975375177542
MaxClique,Grover,4,4,0.136956,0.032693317767804875,10,100000.0,1.1723708634e-06,0.01033853484139153,0.0010827607600019497,0.010395079294073064
MaxClique,Grover,4,5,0.06074599999999999,0.01857344771441211,10,100000.0,5.674544781999999e-07,0.005873439877959085,0.0007532957441801991,0.005921549668642494
MaxClique,Grover,4,6,0.02537599999999996,0.00887454061408875,10,100000.0,2.466117689999996e-07,0.0028063761528189825,0.0004966002104308853,0.0028499752420172134
MaxClique,Grover,4,7,0.010065999999999981,0.003952715522270732,10,100000.0,9.950614079999981e-08,0.0012499583993077522,0.00031544593958394805,0.0012891478351221004
MaxClique,Grover,4,8,0.00375999999999995,0.0015173002339681988,10,100000.0,3.743790419999951e-08,0.00047981246336458903,0.00019348877021677384,0.0005173566508705524
MaxClique,Grover,4,9,0.00136199999999997,0.0005829960929924435,10,100000.0,1.35983905999997e-08,0.0001843595520835451,0.00011661213744717871,0.0002181440694688835
MaxClique,Grover,4,10,0.00048099999999998003,0.00023311656597788973,10,100000.0,4.8071972999998e-09,7.371793088070488e-05,6.933395488503306e-05,0.00010120044779215249
MaxClique,Grover,4,11,0.00015599999999999,8.126773310756326e-05,10,100000.0,1.5596971999999e-09,2.5699113689857346e-05,3.949300191172988e-05,4.7118379051534794e-05
MaxClique,Grover,4,12,5.1000000000000006e-05,3.4140233677518316e-05,10,100000.0,5.099635e-10,1.0796089827134432e-05,2.2582371443229783e-05,2.5030362673272547e-05
MaxClique,Grover,6,2,0.5344249999999999,0.0384034539100615,10,100000.0,2.4748757663e-06,0.012144238437309348,0.0015731737876979771,0.012245709574725419
MaxClique,Grover,6,3,0.26811199999999996,0.036836336770459,10,100000.0,1.9500673132e-06,0.01164867248516615,0.0013964481061607694,0.011732077308808826
MaxClique,Grover,6,4,0.12900399999999995,0.025681529116814216,10,100000.0,1.1176838113999996e-06,0.008121212580506536,0.0010572056618274419,0.008189736112304086
MaxClique,Grover,6,5,0.06012299999999996,0.015736086658802217,10,100000.0,5.628536288999996e-07,0.004976187529960392,0.0007502357155587833,0.005032424461651989
MaxClique,Grover,6,6,0.027212999999999953,0.008654883078997151,10,100000.0,2.640503632999995e-07,0.002736914341208201,0.0005138583105292737,0.0027847352610995395
MaxClique,Grover,6,7,0.01199099999999997,0.004493383901792593,10,100000.0,1.1829044469999969e-07,0.0014209327531198943,0.00034393377952739634,0.0014619645459411396
