problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxClique,Grover,4,2,0.43592999999999993,0.045137020775018424,10,100000.0,2.4406141952000005e-06,0.014273579244339678,0.0015622465219036336,0.014358818845561235
MaxClique,Grover,4,3,0.16934199999999996,0.03670008683005171,10,100000.0,1.3945308029999998e-06,0.011605586470891226,0.0011809025374686938,0.011665511910599271
MaxClique,Grover,4,4,0.060833999999999964,0.020492760347660992,10,100000.0,5.675526653999997e-07,0.006480379824259274,0.0007533609131087169,0.006524022940798619
MaxClique,Grover,4,5,0.02097999999999997,0.009406977315919395,10,100000.0,2.046019749999997e-07,0.0029747474215842604,0.00045232949826426276,0.0030089407101540244
MaxClique,Grover,4,6,0.00699799999999999,0.0037972849950107,10,100000.0,6.936050559999989e-08,0.0012008069509014932,0.0002633638274326979,0.0012293485424944958
MaxClique,Grover,4,7,0.00220799999999999,0.0014020207638341866,10,100000.0,2.20135563999999e-08,0.0004433578940565055,0.0001483696613192869,0.0004675251636246112
MaxClique,Grover,4,8,0.00067699999999998,0.0004750918039939463,10,100000.0,6.763385299999799e-09,0.00015023721982991507,8.223980362330517e-05,0.0001712734875052821
MaxClique,Grover,4,9,0.00020499999999999,0.00017392527130924648,10,100000.0,2.0493074999999e-09,5.499999999999545e-05,4.5269277661565354e-05,7.12341736808914e-05
MaxClique,Grover,4,10,5.4e-05,3.9496835316263e-05,10,100000.0,5.399568e-10,1.2489995996796796e-05,2.3236970542650346e-05,2.63809931579537e-05
MaxClique,Grover,4,11,1.6000000000000003e-05,1.4298407059684812e-05,10,100000.0,1.5999559999999998e-10,4.521553322083512e-06,1.2648936714206455e-05,1.3432797342491416e-05
MaxClique,Grover,4,12,5e-06,7.0710678118654756e-06,10,100000.0,4.99993e-11,2.2360679774997895e-06,7.071018314217549e-06,7.416151292955126e-06
MaxClique,Grover,6,2,0.46552999999999994,0.038461653052820774,10,100000.0,2.4748045021999998e-06,0.012162642622208208,0.0015731511377486906,0.01226395858023647
MaxClique,Grover,6,3,0.19979799999999998,0.03256515445141393,10,100000.0,1.5892431884000002e-06,0.010298006042163913,0.0012606518902536102,0.010374881764764574
MaxClique,Grover,6,4,0.08052299999999994,0.018051851274715404,10,100000.0,7.374576406999995e-07,0.00570849660107146,0.0008587535389737846,0.0057727282185414215
MaxClique,Grover,6,5,0.03093499999999997,0.008652315361284012,10,100000.0,2.9910649469999975e-07,0.002736102357572013,0.0005469062942588975,0.0027902262642680305
MaxClique,Grover,6,6,0.01145399999999997,0.003706646282917576,10,100000.0,1.1310440579999973e-07,0.0011721444734616412,0.0003363099846867466,0.00121943719496605
MaxClique,Grover,6,7,0.00422899999999993,0.0015498634348440593,10,100000.0,4.208953689999931e-08,0.0004901098516319199,0.00020515734668785155,0.000531316481549991
MaxClique,Grover,6,8,0.00152699999999996,0.0006042451673139023,10,100000.0,1.52433966999996e-08,0.00019107909938614578,0.0001234641514772592,0.000227496415185427
MaxClique,Grover,6,9,0.00055999999999996,0.00023060307408569481,10,100000.0,5.596385399999601e-09,7.292309495473463e-05,7.480899277493048e-05,0.00010447087238927818
MaxClique,Grover,6,10,0.00018499999999998002,8.276472678620875e-05,10,100000.0,1.8495960999998001e-09,2.617250465659674e-05,4.300693083678258e-05,5.03447723204642e-05
MaxClique,Grover,6,11,7.300000000000001e-05,3.433495141818158e-05,10,100000.0,7.299361000000002e-10,1.0857664983268221e-05,2.7017329623780367e-05,2.911743444894981e-05
MaxClique,Grover,6,12,2.7999999999999996e-05,2.043961295567452e-05,10,100000.0,2.799884e-10,6.463573143221771e-06,1.6732853910794774e-05,1.7937842060230593e-05
MaxClique,Grover,8,2,0.43137099999999995,0.033870596376339275,10,100000.0,2.4425756479e-06,0.010710823025747775,0.0015628741625287686,0.010824246187924068
MaxClique,Grover,8,3,0.17456199999999997,0.026486712727537776,10,100000.0,1.434587168e-06,0.008375833994959019,0.001197742529928699,0.008461039077980384
MaxClique,Grover,8,4,0.06832199999999997,0.0143729597972489,10,100000.0,6.346818053999997e-07,0.004545128967733843,0.0007966691944590299,0.004614420780415816
MaxClique,Grover,8,5,0.02558499999999998,0.006834284893096002,10,100000.0,2.4888371069999983e-07,0.0021611906440663726,0.0004988824618083901,0.0022180236046309386
MaxClique,Grover,8,6,0.00953599999999998,0.0029577326150655053,10,100000.0,9.43719133999998e-08,0.0009353171773373047,0.0003072001194661223,0.000984474547980913
MaxClique,Grover,8,7,0.0034009999999999605,0.0011646692425081237,10,100000.0,3.3882123899999606e-08,0.0003683007527068668,0.0001840709751699045,0.0004117372564445003
MaxClique,Grover,8,8,0.00123999999999998,0.00048136380328304984,10,100000.0,1.2382538599999799e-08,0.00015222060015356747,0.00011127685563494234,0.00018855675461545277
MaxClique,Grover,8,9,0.00041299999999999004,0.00015456390264225153,10,100000.0,4.1280792999999e-09,4.887739763940323e-05,6.425013073916582e-05,8.072842931706427e-05
MaxClique,Grover,8,10,0.00014999999999997,6.847546194725199e-05,10,100000.0,1.4997327999997004e-09,2.165384235855049e-05,3.87263837712702e-05,4.4369152447265154e-05
MaxClique,Grover,8,11,5.1000000000000006e-05,3.314949304120485e-05,10,100000.0,5.099641e-10,1.0482790129010924e-05,2.2582384727924552e-05,2.4896846966812663e-05
MaxClique,Grover,8,12,1e-05,8.164965809277262e-06,10,100000.0,9.99984e-11,2.5819888974716113e-06,9.999919999679998e-06,1.0327878129929045e-05
MaxClique,X,4,2,0.487714,0.004421408021082099,10,100000.0,2.4983146024e-06,0.0013981719811557202,0.0015806057707094454,0.0021102605268755116
MaxClique,X,4,3,0.16641099999999998,0.0031178427371073895,10,100000.0,1.3870963022999998e-06,0.000985948443547293,0.0011777505263424848,0.0015359657013206153
MaxClique,X,4,4,0.04659799999999995,0.0018308637912805622,10,100000.0,4.4423609539999964e-07,0.0005789699665977704,0.0006665103865657306,0.0008828603047041038
MaxClique,X,4,5,0.01135499999999998,0.0007632132365495283,10,100000.0,1.1225539729999982e-07,0.0002413492167885378,0.00033504536603272075,0.00041292231926167474
MaxClique,X,4,6,0.00249199999999995,0.0003050245891727314,10,100000.0,2.4857061999999506e-08,9.645724441429662e-05,0.00015766122541702987,0.00018482711381179672
MaxClique,X,4,7,0.00048399999999992996,0.00010521934760827952,10,100000.0,4.8375577999993016e-09,3.327327923591535e-05,6.9552554230591e-05,7.710167904209673e-05
MaxClique,X,4,8,9.499999999998e-05,3.951089863707369e-05,10,100000.0,9.498956999998001e-10,1.2494443209319539e-05,3.082037799897659e-05,3.325668069893193e-05
MaxClique,X,4,9,1.5000000000000002e-05,1.4337208778404379e-05,10,100000.0,1.499959e-10,4.5338235029118145e-06,1.224728133097301e-05,1.305953504362064e-05
MaxClique,X,4,10,5e-06,5.270462766947299e-06,10,100000.0,4.99995e-11,1.6666666666666667e-06,7.071032456438027e-06,7.264797160126205e-06
MaxClique,X,4,11,0.0,0.0,10,100000.0,0.0,0.0,0.0,1e-16
MaxClique,X,4,12,0.0,0.0,10,100000.0,0.0,0.0,0.0,1e-16
MaxClique,X,6,2,0.497003,0.01208288693428295,10,100000.0,2.4985962145000003e-06,0.0038209443422623367,0.0015806948517977783,0.004134998413683681
MaxClique,X,6,3,0.17598699999999995,0.0061720319902677755,10,100000.0,1.4498129124999999e-06,0.0019517678880668365,0.0012040817715172005,0.0022932969283084295
MaxClique,X,6,4,0.05191599999999998,0.002524260947947607,10,100000.0,4.921499423999999e-07,0.0007982414004130174,0.0007015339923339424,0.001062703757278262
MaxClique,X,6,5,0.01356199999999996,0.0010779074377906615,10,100000.0,1.3377026459999962e-07,0.0003408642610254746,0.0003657461750996169,0.0004999587073393587
MaxClique,X,6,6,0.0032819999999999503,0.0003849328945846769,10,100000.0,3.27109511999995e-08,0.00012172646932090734,0.00018086169080266696,0.00021800982668983824
MaxClique,X,6,7,0.00079099999999997,0.00017909959985068976,10,100000.0,7.903454499999701e-09,5.663626635529322e-05,8.89013751299703e-05,0.0001054093030366268
MaxClique,X,6,8,0.00017199999999999,4.984420171339045e-05,10,100000.0,1.7196817999999005e-09,1.5762120556718108e-05,4.146904628756129e-05,4.4363568887595325e-05
