problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxClique,Grover,4,2,0.9999649999999999,0.0001106797181058966,10,100000.0,3.4987750000051654e-10,3.500000000000105e-05,1.87050126971493e-05,3.9684726281033986e-05
MaxClique,Grover,4,3,0.45835099999999995,0.01116120110024006,10,100000.0,2.4815324563000003e-06,0.0035294816899935876,0.0015752880550235885,0.00386507095100465
MaxClique,Grover,4,4,0.19778999999999997,0.013495339936437315,10,100000.0,1.5850520411999996e-06,0.004267601199737387,0.0012589884992326179,0.004449435024944177
MaxClique,Grover,4,5,0.08172599999999997,0.010211730944795275,10,100000.0,7.495300941999997e-07,0.0032292328638376237,0.0008657540610358115,0.003343273094302788
MaxClique,Grover,4,6,0.032373999999999944,0.0056029698474211725,10,100000.0,3.129767017999995e-07,0.0017718146379097006,0.0005594432069477648,0.00185803762419147
MaxClique,Grover,4,7,0.01227399999999997,0.0027295958186759734,10,100000.0,1.2116643299999973e-07,0.0008631739878688048,0.00034808969102804484,0.0009307178768742628
MaxClique,Grover,4,8,0.00443699999999993,0.0010872396240019688,10,100000.0,4.4162491499999303e-08,0.0003438153574231294,0.00021014873661290306,0.0004029534607122683
MaxClique,Grover,4,9,0.0015669999999999601,0.0004437228864956237,10,100000.0,1.56436730999996e-08,0.00014031749712705403,0.00012507467009750456,0.00018796987285200895
MaxClique,Grover,4,10,0.00053499999999998,0.0002002914543026204,10,100000.0,5.346776699999801e-09,6.333771914638123e-05,7.312165684665386e-05,9.673904778663924e-05
MaxClique,Grover,4,11,0.00017199999999999,7.641989269815695e-05,10,100000.0,1.7196515999999004e-09,2.4166091947184637e-05,4.146868215894858e-05,4.799637069612329e-05
MaxClique,Grover,4,12,5.6000000000000006e-05,2.9888682361946524e-05,10,100000.0,5.599606e-10,9.451631252505215e-06,2.3663486640814367e-05,2.548124669896144e-05
MaxClique,Grover,6,2,0.9999549999999999,0.00011806307165624977,10,100000.0,4.4985430000061643e-10,3.733482139894172e-05,2.1209768975654037e-05,4.2938830781607145e-05
MaxClique,Grover,6,3,0.46791,0.005742293386211955,10,100000.0,2.4894055536e-06,0.0018158726093350699,0.0015777850150131354,0.0024055766225446564
MaxClique,Grover,6,4,0.20952699999999994,0.008628268849157015,10,100000.0,1.6555843394999994e-06,0.002728498182761596,0.0012866951229797987,0.003016668140984906
MaxClique,Grover,6,5,0.09105799999999993,0.007720896321023861,10,100000.0,8.271278961999994e-07,0.002441561795244998,0.0009094657201896063,0.0026054465828721143
MaxClique,Grover,6,6,0.038666999999999924,0.005207812613969724,10,100000.0,3.714745392999993e-07,0.001646854948749955,0.0006094871116766944,0.0017560198636468257
MaxClique,Grover,6,7,0.0162199999999999,0.003129032509330081,10,100000.0,1.5948099839999902e-07,0.0009894869602195121,0.0003993507210460487,0.0010670358207878728
MaxClique,Grover,6,8,0.0067849999999999204,0.0018117839581779703,10,100000.0,6.73600946999992e-08,0.0005729363935997637,0.0002595382335995974,0.0006289802904790439
MaxClique,Grover,6,9,0.00284699999999992,0.0009426210502871712,10,100000.0,2.8380949099999212e-08,0.0002980829489327576,0.00016846646283459274,0.00034239508399573756
MaxClique,Grover,6,10,0.00119299999999995,0.00046257852186295406,10,100000.0,1.1913841699999501e-08,0.00014628017257609297,0.0001091505460361949,0.00018251501469438355
MaxClique,Grover,6,11,0.00047599999999997005,0.00024309120373500182,10,100000.0,4.7572023999997e-09,7.687218829546363e-05,6.897247566964448e-05,0.00010327892201864287
