metric,problem,mixer,N,model,weighted_sse,params,perr,best,n_points_fit,include_zeros_in_fit
dec_prop,MaxClique,Grover,4,stretched_exp,15.86363718966378,0.99999999999999989;0.21968385907158505;1.5550281981551595,0.077664179363906141;0.030096193469314237;0.060352471424594691,True,11,False
dec_prop,MaxClique,Grover,4,exp_quadratic,93.39543167404189,0.73114080583989283;0.089744814373750773,0.020503626598485671;0.0017380148859030508,False,11,False
dec_prop,MaxClique,Grover,4,exp_decay,818.6485096228727,0.99999999999999989;0.70743976551815646,0.065764912833575412;0.0092908206934656356,False,11,False
dec_prop,MaxClique,Grover,4,exp_over_power,818.6485098238057,0.99999999999999978;0.70743888075058814;5.4660009040891125e-15,0.12794992556538731;0.050536262954734394;0.26430388434344532,False,11,False
dec_prop,MaxClique,Grover,4,power_law,1825.6796432872413,0.99999999999999989;3.3201681202689839,0.19744306484657784;0.090719846663126588,False,11,False
dec_prop,MaxClique,Grover,6,stretched_exp,30.904794710129437,0.99999999999999989;0.26307756750291889;1.4410293101248126,0.08184779088085968;0.035555500795903666;0.059591853501246878,True,11,False
dec_prop,MaxClique,Grover,6,exp_quadratic,141.742855782811,0.6966795006128067;0.091056188463519552,0.018656348153363388;0.0019968872508085776,False,11,False
dec_prop,MaxClique,Grover,6,exp_decay,662.8023256705928,0.99999999999999989;0.63232206594880747,0.047976631270319633;0.0077901030267574205,False,11,False
dec_prop,MaxClique,Grover,6,exp_over_power,662.8023258119038,0.99999999999999878;0.63232136374372971;1.3510378910379846e-14,0.092616555063965697;0.036785802531028595;0.18778201567020691,False,11,False
dec_prop,MaxClique,Grover,6,power_law,1965.3249626717575,0.99999999999999989;2.8866624424076912,0.12365861207098877;0.059814926577819019,False,11,False
dec_prop,MaxClique,Grover,8,stretched_exp,31.885855304070528,0.99999999999999989;0.23462876099537489;1.4334371876753993,0.073317024599932237;0.033052999754351629;0.062153768690660638,True,11,False
