problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,X,5,2,1,21260228,100000,1.000e-12,false,54006,45994,0,0.54005999999999998,0.45994000000000002,0.0015760558251534113,0.0015760558251534113
SK,X,5,3,1,21260228,100000,1.000e-12,false,22251,19841,57908,0.22251000000000001,0.19841,0.0013152919824130306,0.001261124386807265
SK,X,5,4,1,21260228,100000,1.000e-12,false,7796,7614,84590,0.077960000000000002,0.076139999999999999,0.00084783393657012808,0.00083870555262261144
SK,X,5,5,1,21260228,100000,1.000e-12,false,2425,2631,94944,0.024250000000000001,0.02631,0.00048643537597506208,0.00050614013770891554
SK,X,5,6,1,21260228,100000,1.000e-12,false,690,810,98500,0.0068999999999999999,0.0080999999999999996,0.00026177070118712674,0.00028344999559005112
SK,X,5,7,1,21260228,100000,1.000e-12,false,191,249,99560,0.00191,0.00249,0.00013807070290253469,0.00015760075824690692
SK,X,5,8,1,21260228,100000,1.000e-12,false,51,62,99887,0.00051000000000000004,0.00062,7.1396071320486537e-05,7.8715665531074567e-05
SK,X,5,9,1,21260228,100000,1.000e-12,false,11,8,99981,0.00011,8.0000000000000007e-05,3.3164423709752596e-05,2.8283139853983683e-05
SK,X,5,10,1,21260228,100000,1.000e-12,false,5,1,99994,5.0000000000000002e-05,1.0000000000000001e-05,2.2360120751015635e-05,9.999949999874999e-06
SK,X,5,11,1,21260228,100000,1.000e-12,false,2,0,99998,2.0000000000000002e-05,0,1.4141994201667599e-05,0
SK,X,5,12,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,13,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,14,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,15,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,16,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,17,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,18,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,19,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,20,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,2,1,21260228,100000,1.000e-12,false,50441,49559,0,0.50441000000000003,0.49558999999999997,0.0015810773285959165,0.0015810773285959165
SK,Grover,5,3,1,21260228,100000,1.000e-12,false,25082,22136,52782,0.25081999999999999,0.22136,0.0013708002319813052,0.0013128585239849722
SK,Grover,5,4,1,21260228,100000,1.000e-12,false,12498,8887,78615,0.12497999999999999,0.088870000000000005,0.0010457533150796128,0.00089984511500591031
SK,Grover,5,5,1,21260228,100000,1.000e-12,false,5807,3521,90672,0.058069999999999997,0.035209999999999998,0.0007395801180399592,0.00058284008012490015
SK,Grover,5,6,1,21260228,100000,1.000e-12,false,2476,1439,96085,0.024760000000000001,0.01439,0.00049139538459370979,0.00037660228225543189
SK,Grover,5,7,1,21260228,100000,1.000e-12,false,991,590,98419,0.0099100000000000004,0.0058999999999999999,0.00031323779944317064,0.00024218154347513767
SK,Grover,5,8,1,21260228,100000,1.000e-12,false,376,254,99370,0.0037599999999999999,0.0025400000000000002,0.00019354230545283894,0.0001591712411210015
SK,Grover,5,9,1,21260228,100000,1.000e-12,false,142,102,99756,0.00142,0.0010200000000000001,0.00011907911655701852,0.00010094352876732615
SK,Grover,5,10,1,21260228,100000,1.000e-12,false,55,50,99895,0.00055000000000000003,0.00050000000000000001,7.4141587520095624e-05,7.0692998238863796e-05
SK,Grover,5,11,1,21260228,100000,1.000e-12,false,21,15,99964,0.00021000000000000001,0.00014999999999999999,4.582094499243768e-05,3.8726928615628683e-05
